draft_id,user_id,username,draft_created_time,draft_filled_time,draft_time,draft_completed_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,player_id,position_name,projection_adp,source,pick_order,overall_pick_number,team_pick_number,pick_created_time,pick_points,roster_points,made_playoffs
d76806e3-f838-4a5b-b975-82b80c2ed5e6,f95f7848-8cb7-4424-9b14-e88ecbb445cf,drolson,2023-04-24 22:41:33-05,2023-09-05 18:44:03-05,2023-09-05 18:45:09-05,2023-09-05 19:35:24-05,30,3c6471b6-086f-47ad-bf06-5b1eab8bc43d,91ac8707-b261-4502-a05e-0928ca64dbb3,e7c8f884-94a7-4101-b2c5-5e673b318e7d,1,Amon-Ra St. Brown,b4d7a866-815f-40c1-8f76-7608b4ab1c01,WR,13.01,user,11,11,1,2023-09-05 18:47:50-05,181.5,1692.04,0
c3f9141b-5f2a-49cf-931a-17360cb76224,fa87da0f-e4a7-44a8-9bc2-707c0633df22,goblore,2023-08-24 19:26:58-05,2023-08-24 20:23:15-05,2023-08-24 20:24:20-05,2023-08-24 21:08:51-05,30,3d165d7e-5a0c-4256-b8db-8a33d8354014,66e0fa5d-d30b-4422-b2f7-967bfd72dbbd,c5b5e2d7-b18c-4567-b2d5-63167b55c1d9,1,Justin Jefferson,d61fb310-35c9-4f90-a99c-fb4605a870f4,WR,1.11,user,1,1,1,2023-08-24 20:24:24-05,90.5,1692.1,0
1f4924ff-1117-4372-9f5d-8131446d4894,d7fc2cdd-788b-480c-9d7e-99c3d04c67c2,amcamcamc,2023-04-24 22:41:28-05,2023-08-27 19:36:14-05,2023-08-27 19:37:19-05,2023-08-27 20:21:44-05,30,87205d0d-8451-4e6d-96db-d89eb51f408c,80990565-1438-4367-b43c-6e391d5c7251,c496ad18-9966-4534-9218-6d6760411cb4,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.18,user,5,5,1,2023-08-27 19:38:04-05,285.4,1691.66,0
6d29e76f-3a28-490b-ba45-a4d8defe330b,f2985466-5782-4992-9240-5b435c6f6df3,theshow89,2023-04-24 22:41:50-05,2023-08-15 22:22:37-05,2023-08-15 22:23:43-05,2023-08-15 23:15:01-05,30,efb84550-4824-444a-a7b0-8c13211afb6f,0a51d64c-0634-4bb6-9f78-75784701a8d5,8b6e3697-92e7-42e6-91a7-2673ca460976,1,Amon-Ra St. Brown,b4d7a866-815f-40c1-8f76-7608b4ab1c01,WR,13.08,user,12,12,1,2023-08-15 22:26:25-05,181.5,1691.5,0
67a3679f-6afd-4d0a-abe0-2c73372186b5,3d6937e8-6631-4c46-a61f-4b241bac28d0,inomar16,2023-04-24 22:41:57-05,2023-08-06 10:27:54-05,2023-08-06 10:28:59-05,2023-08-06 11:18:34-05,30,5bd6e9b5-d926-4b69-aa7a-9250ff21f92c,8cc853f8-82a1-42d3-91a9-5b5f72aa7490,170b1de5-c9e1-4ee7-8785-ea4174c701a3,1,A.J. Brown,dd48e78f-5a11-4056-b21e-94789a31ee6e,WR,9.74,auto,11,11,1,2023-08-06 10:31:46-05,204.6,1691.4,0
447ef4c7-e4be-4b9c-8bb2-9dd50aae5c51,34d7787b-0e95-4675-86b7-b7d48874c9a1,fantasygrinder,2023-04-24 22:39:48-05,2023-05-15 03:44:03-05,2023-05-15 03:45:10-05,2023-05-15 04:34:22-05,30,00710c2b-3500-4c4e-9026-c2a1473788c2,f6830d43-ca44-45e5-a2d9-54d7e76b8171,92b1fb6f-b06d-42bb-9de1-cc2df71e8e88,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.69,user,11,11,1,2023-05-15 03:47:13-05,235.7,1691.26,0
ddeac7b8-16f4-4d64-9360-7e7cb7602441,aafb15cb-c140-4b95-a749-203d07be010e,jumpfree,2023-04-24 22:42:14-05,2023-07-19 21:48:44-05,2023-07-19 21:49:51-05,2023-07-19 22:37:20-05,30,1ce5e44b-c040-4cc7-ac26-760cdfc4039f,31bc17a2-ea35-42e9-8231-770134e2311b,6e8c7d2c-6ac0-4a8c-a6e7-1b1abebdf7ec,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.78,user,5,5,1,2023-07-19 21:50:35-05,285.4,1691.26,0
09fd4486-9e58-4fb0-8a43-5a0f70035b06,725c6368-b219-49c8-bbcb-28e135c4df1a,larryreggie,2023-04-24 22:41:53-05,2023-08-10 02:50:24-05,2023-08-10 02:51:30-05,2023-08-10 03:40:32-05,30,adf772b2-1111-421d-a514-f212b7016982,eedc1ae9-fea1-42ef-aead-b3e3a503d5d5,73c97e93-4c7c-4e0a-9741-3269f91dc93f,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.48,user,3,3,1,2023-08-10 02:51:42-05,285.4,1690.92,0
216096e6-9140-4e94-95db-6994848a88d6,5e393e6d-d835-4761-8e51-ef70f9132d26,texasgambler,2023-04-24 22:42:24-05,2023-07-08 21:03:17-05,2023-07-08 21:04:22-05,2023-07-08 21:52:43-05,30,d193362c-5952-42da-be60-514989df1ae7,f8099109-5b89-4b43-9e59-d8133319854f,329788ff-86e5-49b5-ad8c-4ecf078355cf,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.82,user,5,5,1,2023-07-08 21:05:37-05,285.4,1690.86,0
998ca43a-cec5-4669-9460-2803cbbb858a,e157a734-9c75-402a-9a50-2f70ceb075c9,larrydave,2023-04-24 22:39:55-05,2023-05-16 04:37:31-05,2023-05-16 04:38:39-05,2023-05-16 05:33:49-05,30,9310f2db-0d1a-4140-91b9-98806c1637f7,94932f93-6251-41cd-bd0b-e649ff2e65bb,9e38761e-064a-4300-b0e4-76f30bbf2a19,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.34,user,4,4,1,2023-05-16 04:39:35-05,285.4,1689.98,0
