draft_id,draft_time,clock,tournament_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
a01ccd1f-9ad4-471f-909b-70d2f873475e,2021-08-12 19:11:20.76449-05,30,9e4b94f1-e792-4e02-8d37-9a4b9d0f74e1,1,Chase Edmonds,RB,12,78.65,8,80,7,63.4,1699.56,1
a486e583-527f-465c-8d5c-8b2b43d83a07,2021-06-23 22:20:58.419035-05,30,8700cb9b-4f73-451b-ba22-db7d3208b610,1,Marquise Brown,WR,8,92.92,12,85,8,128.9,1737.22,1
a0adfb4b-1cf8-4f38-9ed2-8624b2ded62c,2021-06-02 03:17:29.030611-05,30,e7d8d066-5d35-4764-bb50-726e0b7dfb1a,1,Patrick Mahomes,QB,12,35.62,9,40,4,221.86,1682.16,1
a4f0b792-d292-4600-b987-ffaf877efddc,2021-07-30 18:06:10.609532-05,30,b5f13a3b-33c4-4477-aaa6-bf627065aa13,1,Antonio Brown,WR,0,82.94,9,81,7,78.7,1879.6,1
98a2e3da-c613-453a-9813-d7dd6755f6ee,2021-06-28 14:23:15.539844-05,28800,534b295f-20fd-4475-bebd-282b9804308d,1,Kenneth Gainwell,RB,14,198.69,12,205,18,46.4,1821.42,1
98adf813-735e-4790-8bdb-52c27632a599,2021-09-03 14:42:24.966802-05,30,4801faf9-0de0-4bbd-86a8-249be1d5692b,1,Cooper Kupp,WR,11,35.68,11,38,4,270,1919.48,1
b177ed47-b287-430a-bfda-91503b50d195,2021-09-06 21:25:41.82863-05,30,9575a7b7-febe-4d03-b137-6ba9039e8c81,1,Eric Ebron,TE,7,204.91,8,200,17,9.9,1964.78,1
a53da632-9ac4-4080-a3fe-9275d96a2388,2021-08-24 19:37:41.093207-05,30,fc9467ed-a9f3-4a91-a14e-6513bce39b5e,1,T.J. Hockenson,TE,9,61.67,11,59,5,112.8,1845.2,1
99c5fe15-cd98-403c-9430-4afd3af4c17f,2021-08-07 19:38:06.47856-05,30,4739ce51-c53d-4a73-932d-c871e7c215b0,1,Marquez Valdes-Scantling,WR,13,176.15,7,186,16,40.7,1717.96,1
b1dee8fd-226f-455c-a5e2-2f77d2a45907,2021-08-21 15:47:14.034414-05,30,ee2a3f73-25f7-43aa-863a-60e08ff5b518,1,Deebo Samuel,WR,6,65.3,10,63,6,197,1778.54,1
b2291492-d698-4408-9c88-94508c38d8d8,2021-05-06 22:27:47.757539-05,30,48eb31b5-2fd4-4d1b-b5b3-3c3838eed38e,1,Michael Gallup,WR,7,91.56,12,85,8,17.8,1738.28,1
a28f9ce0-70dd-40a2-986a-686be8c10346,2021-07-17 08:34:09.526697-05,30,0474e417-6482-4836-acb5-c51abca2d8b3,1,David Johnson,RB,10,141.26,3,142,12,17.2,1610.38,1
a9febf71-5bb9-4656-a605-92a006b447c2,2021-06-24 12:31:41.289095-05,30,5fde5dca-de35-4c6f-be8c-5507c559848d,1,Damien Harris,RB,14,87.17,6,91,8,115.9,1618.88,1
